,text,location
0,started the day @pix11news recapping #demdebate w/ @danmannarino @betty_nguyen &amp; @deetwocents,New York
1,has     bernie ie ie ie ie put his arm down yet? #demdebate,New York
2,#mustpetetv #peteoncbsn #demdebate #demdebates #demdebate2020 #peteforamerica #teampete #presidentpete #petebuttigieg #peteforamerica #petebuttigieg #colorado #denver #teampete #presidentpete #southcarolina #southcarolinaprimary #scprimary #florida #floridaprimary #denver,New York
3,pete looks stylish with those earrings last night! #demdebate ,New York
4,"voters, the media has been lying to you. rise up, and join the movement. #    bernie ie ie ie ie2020 #demdebate #demdebate2020",New York
5," repping the og media team in charleston, sc at the #demdebate #lovewhereyouwork",New York
6,be terrified people that this is happening here. decide what kind of country you want to live in... once our freedoms are gone... you cant get them back. surely this will be mentioned at the next #demdebate and all of trump’s abuses since #impeachment,New York
7,"the other candidates’ ceremonial bashing of bloomberg's faults during the #vegasdebate could have the effect of subtly inoculating him. in certain voters’ minds, the evening made him appear to be mortal and fallible and, therefore, human. http://cityjourn.al/2hj9r9c #demdebate",New York
8,the #covid19 #coronavirus outbreak was among the # climate care issues candidates tackled in the recent #demdebate. by @shannonfirth. @joebiden @sen    bernie ie ie ie  @ bloomberg  @petebuttigieg @tomsteyer @amyklobuchar @senwarren #election2020,New York
9,suggestion: the next #demdebate must be on one of the cruise ships. it will show how fearless they are. ,New York
10,shoutout to our #brooklyn for ny team for gathering the community to cheer @ bloomberg  on in last night's #demdebate. footage via @news12bk,New York
11,some in-depth day after polling is a real mix bag following the #demdebate ,New York
12,#biden #biden2020 #joebiden @joebiden #joebiden2020 #demdebate #demdebate2020 #scdebate #scprimary #southcarolina,New York
13,@ninatotenberg diary of a radio junkie: 1558 days of waking up to the news #demdebate #    bernie ie ie ie ie    bernie ie ie ie  #klobuchar #biden #buttigieg #warren2020 #bloomberg #steyer #southcarolinadebate #southcarolinaprimary #coronavirus #covidー19 #pandemic #scotus #borderpatrol #mexico #drawing,New York
14,@domeniconpr diary of a radio junkie: 1558days of waking up to the news #demdebate #demdebate2020 #    bernie ie ie ie ie    bernie ie ie ie  #klobuchar #biden #buttigieg #warren2020 #bloomberg #steyer #southcarolinadebate #southcarolinaprimary #coronavirus #covidー19 #pandemic #scotus #borderpatrol #mexico,New York
15,"i just donated to @    bernie ie ie ie ie    bernie ie ie ie  for the 3rd time in the last 24 hours and i have @cnn, @msnbc, @cbsnews, the corrupt #dnc and that awful #demdebate to thank for the motivation. #    bernie ie ie ie ie    bernie ie ie ie  #    bernie ie ie ie iebeatstrump #    bernie ie ie ie ie    bernie ie ie ie 2020 #    bernie ie ie ie ie220 https://twitter.com/usoccerbufbills/status/1232758347100774400/photo/1",New York
16,democratic strategist dee dawkins-haigler weighs in on the highlights from last night's #demdebate on fox 5 dc wttg. https://buff.ly/2vl8xs7,New York
17,"thanks for putting that on the record, @ bloomberg  just said that he bought 21 seats in congress for the democratic party so that @speakerpelosi would be speaker of the house. according to him: democrats bought their house majority in 2018. #demdebate ",New York
18,"it was a shitshow. @cbsnews should be ashamed, as should the @dnc. bad rules, execrable management. #demdebate",New York
19,when you're at dinner with mom and dad and you've been waiting to order drinks for 15 minutes already. #demdebate ,New York
20,listen: @77wabcradio @real    bernie ie ie ie ardmcg1 and @sidrosenberg give you their breakdown of the south carolina #demdebate on @    bernie ie ie ie ieandsid https://www.wabcradio.com/2020/02/26/listen-    bernie ie ie ie ie-sid-breakdown-the-south-carolina-democratic-debate/,New York
21,"    bernie ie ie ie : ""the economy is doing really great for people like mr. bloomberg"" https://edition.cnn.com/politics/live-news/2020-democratic-debate-south-carolina/index.html #demdebate",New York
22,"watched the #demdebate2020 / #democraticdebate / #demdebate on @cspan's replay. thank you cspan! before the next debate, can the @dnc @dncwarroom @tomperez, please hire a real true moderator? the lack of moderation is illustrative of a party out of control, out of hand. thanks!",New York
23,"i learned from last night's debate: whether from the alleged jokes he made in the past or the ones he tried to make during the debate last night, # bloomberg  does not know how to tell a joke! #demdebate2020 #demdebate",New York
24,"""to top it all off, it wasn’t even a fairly representative audience. tickets started at $1,750 and went up to $3,200.this meant that the audience skewed rich. no wonder they booed when elizabeth warren attacked michael bloomberg"". #demdebate ",New York
25,michael bloomberg's second #demdebate showed a man still living in a  economy ’s bubble when it comes to democratic retail politics. @ed_kilgore writes,New York
26,#demdebate not one single comment or question on # climate  # climate  #climateaction @cbs @dnc so disappointed ,New York
27,"one last debate tweet pic before turning attention to saturday's primary in south carolina. good times, fun times @vladduthierscbs @lesliesanchez &amp; @lynda_tran ! @cbsnlive @cbsnews #demdebate #campaign2020 #cbsnews2020 #cbsn #originalreporting #alwayson",New York
28,warren's campaign is dead in the water. attacking bloomberg is just putting another nail in the coffin #demdebate ,New York
29,candidates weighed in on the coronavirus outbreak and took aim at  economy s during last night’s often chaotic #demdebate. https://cnb.cx/2vppb3k,New York
30,"@aoc makes a point. where was the climate change questions at #demdebate ??? this is the biggest national security issue, and the biggest threat to human kind and it isn't discussed? come on. # climate  matters.",New York
31,who watched the #demdebate last night? .... your thoughts?,New York
32,"it’s a shame, and a disservice to the american public, that this wasn’t talked about during last night’s #demdebate it seems like our media is failing us again.",New York
33,rally in north charleston today! #demdebate #demdebate2020 #    bernie ie ie ie iewillwin #    bernie ie ie ie 2020 #scfor    bernie ie ie ie ie,New York
34,south carolina democratic debate as a ps1 content warning #demdebate #southcarolinadebate,New York
35,our #bronx for ny team held an incredible #demdebate party and registration event last evening. thanks to the team at casa del mar on webster avenue for helping make this event such a success! #nyfor bloomberg  #getitdone,New York
36,the youngest #demdebate moderator in the 2020 election cycle so far has been @abbydphillip during the january iowa debate at 31 years old. do you believe @thedemocrats would benefit from a debate hosted solely by individuals 18-30? #youthdebate,New York
37,"if any of those candidates had responded that their personal motto was, “no day but today,” they’d have gotten my vote. they probably also would have lost everyone else’s votes though so... #demdebate",New York
38,@ninaturner @    bernie ie ie ie 4    bernie ie ie ie  @kylekulinski @krystalball @cenkuygur #demdebate ,New York
39,@perinohair @republicandogs #demdebate2020 #demdebate #trumppence2020,New York
40,@petebuttigieg showed a lack of home training by petulantly speaking over— not just one of his competitors— but his elder. not a modicum of respect. i bet there’s not a black person in sc who didn’t cringe at this. decent folks don’t behave this way #demdebate #demdebate2020,New York
41,"    bernie ie ie ie ie     bernie ie ie ie  in #demdebate promotes $60,000 per year minimum wage for public school teachers by @cbinkley #election2020",New York
42,"last night's #demdebate with the clapping, booing bloomberg claque: the $1750 tickets were for the cheap seats. they went up to $3200. that's how bloomberg assembles fake support and how the dnc cheats democratic voters who aren't rich. ",New York
43,so @gayleking can remember to ask about kobe's rape allegations hours after his death but can't remember to ask a single climate change or coronavirus question at the #demdebate?,New York
44,the #'s are in: last night's chaotic final #demdebate before the sc primary and super tuesday averaged 15.8 million viewers on tv. ,New York
45,thank you #warren for having her back. #demdebate #amyklobuchar it was only a name. come on we all forget or maybe she did t know the name.,New York
46,"“it didn't seem like everyday people were really there in the audience, they kind of sold the tickets to the highest bidder,” @shaunking says of last night's #demdebate. https://interc.pt/381uv1d #deconstructed",New York
47,last night     bernie ie ie ie ie     bernie ie ie ie  called bebe netanyahu a “reactionary racist”. i couldn’t agree more. #demdebate,New York
48,that whyte woman who blew off tom steyer's mention of #reparations was peak whyte nonsense. disgusting and disgraceful. #demdebate,New York
49,"that wasn't a debate, it was a lightning-round game of dogpile. cbs produced a steaming pile of silage rotting onstage. it was terrible for the party, though bloomberg's show of continued arrogance and questionable sense of humor was educational. #demdebate",New York
50,"elizabeth warren opened last week’s #demdebate with an attack on michael bloomberg. this week, she went after     bernie ie ie ie ie     bernie ie ie ie  ",New York
51,she has to say that.     bernie ie ie ie ie     bernie ie ie ie  would get crushed in a general election. last night’s debate was just a hint of it. #never    bernie ie ie ie ie #demdebate #demdebate2020 #msnbc,New York
52,"cold feet? don’t wanna answer to your donors, big-bad-warrior #mayorpete? buttigieg cancels florida events due to cold https://thehill.com/homenews/campaign/484669-buttigieg-cancels-florida-events-due-to-cold-campaign #demdebate #demdebate2020 #morningjoe #maddow #maga #wednesdaywisdom #trump2020 ",New York
53,"daily read: @ bloomberg  warns that     bernie ie ie ie ie will lose to trump, #house and #senate will go red, then ""we'll have to live with this #catastrophe."" read it all here, including best #demdebate tweets by @judywoodruff, @mariashriver, @donnabrazile: https://mailchi.mp/1e92a511cf04/daily-read- bloomberg -warns-    bernie ie ie ie ie-will-lose-to-trump-house-and-senate-go-red-then-well-have-to-live-with-this-catastrophe",New York
54,so funny watching #    bernie ie ie ie ie bros/ladies in a lather that he got booed last night. they really cannot accept that not everyone thinks he's god... #demdebate,New York
55,okay amy is fighting. she is winning me over too. #demdebate,New York
56,"dr. donald trump, world authority on pandemics, coronavirus, bone spurs and truth #demdebate #gop @cdcgov @msf_usa",New York
57,warren is a beast right now #demdebate,New York
58,"@joebiden hey joe, if, as u say, “i’m running for the u.s. senate” from s. carolina why the heck r u on the #demdebate stage? i guess that’s why u looked a little bewildered last night. and the 150 million ppl u said were killed by guns? really? that’s half the population. #guns",New York
59,“the  economy  election”: anand giridharadas on how 2020 is a referendum on  economy  inequality https://www.democracynow.org/2020/2/26/anand_giridharadas_2020_the_ economy _election via @democracynow #demdebate #demdebate2020,New York
60,i’d like the first jewish president to be someone less stereotypical than  bloomberg  bloomberg or     bernie ie ie ie ie     bernie ie ie ie . like woody allen or mel brooks. #demdebate #demdebate2020 #election2020,New York
61,we used to like jokes. then some comedy writer wrote this for bloomberg and now we don't. #demdebate ,New York
62,just finished watching the #demdebate... everyone needs to just stop yelling at one another. but i'm totally #teamwomen #teamblue #teamamy #teamwarren,New York
63,the sexism continues to be alive and well when people are talking about elizabeth warren at last night's debate #demdebate ,New York
64,couldn’t have said it better myself @david_bossie . another circus show where voters see just how much chaos there is within today’s democratic party. definitely not ready to lead! #demdebate ,New York
65,kakuma hope is screening march 22 at the new york short documentary film festival. get your ticket here: https://buff.ly/38axejk . #newyork #newyorkcity #newyorktimes #newyorkcomedy #newyorkevents #usa #america #demdebate #thebachelor #addawordruinatvshow #thisisus #ashwednesday,New York
66,"this evening at 7pm et, tune into @cnn to watch @ bloomberg 's first town hall event with the outlet right in #charleston. we're excited to hear him speak directly to the american people after his great #demdebate participation last evening. ",New York
67,"cbs' debate was awful: inept moderators, stacked audience—wtf? | full br... https://buff.ly/3ceozpw #demdebate #demdebate2020 #winecavedebate #democraticdebates",New York
68,@    bernie ie ie ie ie    bernie ie ie ie  needed to say this live during the #demdebate2020. love that he at least did this though. #    bernie ie ie ie ie    bernie ie ie ie  #    bernie ie ie ie ie #biden #buttigieg #bloomberg #demdebate #steyer #scdebate #southcarolina #    bernie ie ie ie ie    bernie ie ie ie 2020,New York
69,"can someone explain to me how     bernie ie ie ie ie is going to pay for his policies and how he will get m4a passed. if so, i’ll vote for him. i’m not #never    bernie ie ie ie ie i’m just genuinely interested. #demdebate2020 #demdebate",New York
70,"icymi: the #blacklivesmatter global network has launched a campaign calling attention to what many viewers noticed about the south carolina #demdebate — black issues aren’t limited to crime justice, poverty and nonviolent drug case expungements. ",New York
71,man i wish i lived in #california. @megadeth @    bernie ie ie ie ie    bernie ie ie ie  #demdebate2020 #demdebate #californiaprimary #    bernie ie ie ie ie    bernie ie ie ie ,New York
72,"thank you for taking that horrible abuse last night from 6 loser corporate shill candidates, 5 despicable corporate shill moderators and a bought dnc insiders, lobbyist filled audience. we are with you     bernie ie ie ie ie. you have the people. #demdebate",New York
73,if @speakerpelosi #dnc @tomperez continue marginalizing millions of most diverse supporters of #tio    bernie ie ie ie ie - it is inevitable that all enablers will be challenged too. ( #demdebate room last night was filled with over $1700/tic fans to boo @sen    bernie ie ie ie ),New York
74,savage suzy is screening march 22 at the new york short comedy film festival. get your ticket here: https://buff.ly/380iqpk . #newyork #newyorkcity #newyorkcomedy #usa #filmfestival #comedy #film #festival #demdebate #thebachelor #addawordruinatvshow #thisisus #ashwednesday,New York
75,what nancy pelosi meant when she said having bloomberg in the campaign is a postive. #demdebate #winecavedebate #demdebate2020,New York
76,"the opening paragraph of this #demdebate2020 recap reminds me of how wil wheaton’s character in “stand by me” told the story of lard-ass. this guy puked on that girl, who puked on that man, and so on. pure chaos at the #demdebate. ",New York
77," does @petebuttigieg know that the stonewall riots—the birth of the modern #lgbtq rights movement—happened during the “revolutionary politics of the 1960s?” (honestly, i bet he does not.) #demdebate ",New York
78,"there are more than one definition you know right? you are teachers i assume. so as per the definition, joe clearly fits into #1, although some might argue, but definitely not into definition #2. #straightfacts #demdebate #southcarolinaprimary",New York
79,#    bernie ie ie ie ie2020 got 4 donations per second during last nights #demdebate ,New York
80,"“explain to people” or force your personal wishes on them, #mini bloomberg ? we nyers had to bear your dictatorial micromanaging. answer the lady’s question, you slippery lil’ coward. #demdebate #demdebate2020 @ bloomberg  #morningjoe #maddow #maga #wednesdaywisdom #trump2020 ",New York
81,#    bernie ie ie ie ie #    bernie ie ie ie ie    bernie ie ie ie  #comrade    bernie ie ie ie ie #comrade    bernie ie ie ie  #democrats #democratic economy  #democraticparty #demdebate #demdebate2020 # economy kills # economy  #communism #    bernie ie ie ie ieisacommunist #    bernie ie ie ie ie economy bomb,New York
82,what makes bloomberg the same if not worse than trump is his paid supporters . never seen a crowd so scripted in reactions . #demdebate #couldahadyang,New York
83,"after kobe controversy, gayle king is slammed for how she moderated south carolina debate the south carolina debate took place tuesday night, airing on cbs news, ahead of the state’s primary on saturday. #demdebate #2020election",New York
84,all supporters of all candidates should be aware of this rigged audience. @    bernie ie ie ie ie    bernie ie ie ie  @joebiden #demdebate #demdebate2020 #scdebate #scprimary #    bernie ie ie ie ie    bernie ie ie ie  #warren #buttigieg #bloomberg #klobuchar #biden #    bernie ie ie ie ie    bernie ie ie ie 2020 #    bernie ie ie ie ie #    bernie ie ie ie ie2020 #southcarolina #dncrigged #dnc,New York
85,#demdebate all i have to say was folks on that stage last night quieted down when @ewarren was speaking. and they talked all over each other the rest of the time. that's a thing. #presidentwarren,New York
86,"i watched the south carolina #demdebate so you didn’t have to. my latest for @spectatorusa: in a matchup of everybody against #    bernie ie ie ie ie, new battle lines are drawn but     bernie ie ie ie ie is coming out ahead and unscathed. to super tuesday and beyond!",New York
87,"the south carolina #demdebate was supposed to clarify things for black voters. instead, it was chaos, writes @zakcheneyrice",New York
88,    bernie ie ie ie ie literally stole 80% of her detailed plans and platform but america chose the 79 year old who had a heart attack in november and has sexist and misogynistic fans known as “    bernie ie ie ie ie bros” but kcool... #sexismisreal #demdebate #democraticprimary,New York
89,"what do you think was missing from last night’s conversation? #demdebate our politicians can’t continue to ignore the issues people of color care about. we need more answers about voting rights, climate justice, and solutions for impacted communities. ",New York
90,@repmaxrose when are you going to comment on the fact your buddy @ bloomberg  claimed at the #demdebate that he bought your house seat? this a huge concern since you later endorsed #mini bloomberg . are you a bought man? how much do you still owe? https://twitter.com/magagwen/status/1232710135799304196,New York
91,appalling! it didn’t take a minute for me to realize this #demdebate would be a disaster. ,New York
92,"we already know @petebuttigieg is a dub and totally can’t see past his own white male privilege when he talked about “revolutionary politics of the 60s” as if it were a bad thing. revolution happens when working class folks have had enough. wake up, petey. you gotta go #demdebate",New York
93,"reupping this endorsement of @petebuttigieg by 200+  immigration  policy leaders after the #demdebate where it was clear that has the clear, calm judgment and understanding of current and future threats to be commander in chief. #teampete",New York
94,democratic debate: cbs moderators blasted for losing control https://nypost.com/2020/02/25/democratic-debate-cbs-moderators-blasted-for-losing-control/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons #demdebate2020 #demdebate,New York
95,my stomach virus seems to have coincided with last night's #demdebate . i am blaming @ bloomberg  entirely # bloomberg  #nothanks #sorrynotsorry,New York
96,i strongly suggest that all progressives look at     bernie ie ie ie ie’s record on guns. he voted against common sense background checks 5 times and voted in favor of a law that immunizes gun manufacturers from lawsuits. #demdebate #    bernie ie ie ie ie    bernie ie ie ie ,New York
97,"mayor pete buttigieg's ""nostalgia"" comments on the 50s and 60s are irksome and inaccurate #demdebate ",New York
98,cbs news panned for “fiasco” #demdebate ,New York
